gene_symbol,n_lines_expression,mean_log_tpm,median_log_tpm,frac_expressed,frac_high_expressed
FEM1C,1775,3.2929244906873243,3.2711103,0.9988732394366198,0.6664788732394367
KLHDC2,1775,4.999180051943662,5.01069,1.0,0.9966197183098592
RNF43,1775,1.5591976351695773,0.9179297,0.48619718309859156,0.19774647887323943
RNF139,1775,4.67712193256338,4.6466985,1.0,0.9943661971830986
VPS18,1775,3.4972730755211265,3.5068686,0.9994366197183099,0.7774647887323943
ABTB2,1775,2.088618866586479,2.1180375,0.819718309859155,0.20338028169014086
ASB4,1775,0.32603090822140846,0.02074469,0.08338028169014085,0.03323943661971831
FZR1,1775,4.209086933746479,4.2439585,1.0,0.9447887323943662
HAT1,1775,6.154516663154929,6.242521,1.0,0.9966197183098592
CBLB,1775,3.3105150601470426,3.2875595,0.9926760563380281,0.611830985915493
UBE2D3,1775,7.912481144957747,7.9590282,1.0,1.0
RNF2,1775,4.304272499149296,4.3226495,0.9971830985915493,0.9487323943661972
RNF169,1775,2.7311497922929573,2.7516308,0.9791549295774647,0.3583098591549296
KCTD16,1775,0.26404683121802813,0.03666368,0.08,0.013521126760563381
KCTD18,1775,3.3229762966760568,3.3383389,1.0,0.7177464788732394
TRIM75,1775,0.013213489206760562,0.0,0.0005633802816901409,0.0
FBXW5,1775,5.1988706051830995,5.297316,1.0,0.9938028169014085
TOMM7,1775,8.71899470743662,8.699246,1.0,1.0
ANAPC15,1775,5.732484343661972,5.765548,1.0,0.9983098591549295
MSL2,1775,3.909286569633803,3.8522086,1.0,0.8985915492957747
RNF180,1775,0.46047073394140847,0.1350633,0.1808450704225352,0.005633802816901409
CCIN,1775,0.16588934338366196,0.01927349,0.044507042253521124,0.0011267605633802818
PRAMEF18,1775,0.0014922813814084509,0.0,0.0,0.0
PRAMEF5,1775,0.0077854813718309865,0.0,0.0005633802816901409,0.0
COP1,1775,4.783424742084507,4.780079,1.0,0.9960563380281691
SLX4,1775,1.927547032169014,1.9279798,0.9188732394366197,0.056901408450704224
FBXW9,1775,2.8137364095999997,2.806454,0.9960563380281691,0.37126760563380284
RFWD3,1775,4.797275513126761,4.884261,1.0,0.9712676056338028
SOCS6,1775,3.3720749101138026,3.4844346,0.96,0.6957746478873239
